"A_1"	"A_2"	"A_3"	"A_4"	"A_5"	"B_1"	"B_2"	"B_3"	"B_4"	"B_5"
"NPY2R"	0.00631445	0.00346764	0	0	0.0130398	0.57574	0.64059	0.62576	0.553583	0.510256
"NPY5R"	0.097425	0.0214709	0.0106622	0.0320397	0.0269915	0.810739	0.904878	0.809609	0.887257	0.643158
"NPY6R"	0.131579	0.0808152	0.107764	0.0920546	0.0906927	0.144061	0.189557	0.231709	0.18523	0.15651
"NQO1"	107.185	97.1098	98.7187	106.675	96.1775	5.8986	6.10299	6.30198	5.92156	6.22992
"NQO2"	28.9253	28.2062	28.4232	31.0017	26.8517	21.2536	20.0277	20.0503	20.9837	18.5023
"NR0B1"	0.552097	0.566772	0.340205	0.32186	0.638716	0.207236	0.212557	0.144632	0.221291	0.311681
"NR0B2"	3.97064	5.32414	5.12881	4.70069	7.37028	0.045833	0.0264263	0.0177063	0.0421377	0
"NR1D1"	6.10042	7.58483	6.63374	6.3928	7.6457	29.9547	31.1396	28.6396	29.1866	28.6178
"NR1D2"	7.6015	6.20203	6.95648	7.17452	8.08008	23.6391	22.4575	24.6655	22.8725	25.9921
"NR1H2"	9.58642	13.75	12.8488	11.0512	24.4199	17.2304	16.3414	16.7087	17.7766	25.43
"NR1H3"	7.16849	7.6265	7.04285	7.5404	6.81494	3.41507	3.2668	3.06648	3.30111	3.10506
"NR1H4"	2.39357	1.89898	1.91027	2.16739	2.00887	0.0299791	0.0230361	0	0.00683361	0.0314039
"NR1I2"	0.522679	0.600512	0.506044	0.580694	0.53146	0.0591345	0.105646	0.079515	0.0811164	0.0412151
"NR1I3"	0.872948	0.57964	0.802057	0.766284	0.557165	1.1506	1.22867	0.985625	0.995695	0.963861
"NR2C1"	9.7093	8.40231	8.50337	8.61079	9.23197	5.70194	5.65241	5.89078	5.56148	6.53815
"NR2C2"	8.93728	8.46631	8.64682	7.96054	9.26752	10.4596	10.3872	10.892	9.92556	10.6742
"NR2C2AP"	16.0414	17.4317	17.9203	16.7148	14.4886	4.59576	5.49374	5.22753	4.99271	4.15706
"NR2E1"	0.999185	0.899985	0.953978	0.909071	0.963094	2.10264	2.30397	2.25807	2.35358	2.15228
"NR2E3"	0.0969056	0.0582991	0.0879391	0.135596	0.106481	0.1214	0.0744099	0.149119	0.114313	0.115916
"NR2F1"	3.8945	4.8889	4.77895	3.9677	7.22255	10.2954	10.4117	9.86102	9.79106	14.7221
"NR2F2"	14.4966	12.9213	13.4348	14.3544	15.9774	3.11642	2.99199	3.17746	3.06162	3.61953
"NR2F6"	10.751	14.8455	14.551	12.2026	29.9323	6.1567	6.15555	5.86224	6.23133	11.4107
"NR3C1"	11.1806	9.94983	10.2688	10.4967	11.9846	11.749	11.2506	11.5614	10.8963	12.3689
"NR3C2"	0.0992094	0.0891887	0.0797782	0.106515	0.0681345	5.62616	5.5383	5.82016	5.24774	5.85711
"NR4A1"	14.3771	18.2342	17.5331	15.7203	20.8986	10.4979	10.8216	10.0795	10.4075	10.435
"NR4A2"	2.18463	2.11082	1.99822	2.24597	2.29742	6.33345	6.56375	6.4809	6.30296	6.87334
"NR4A3"	1.0503	0.873131	0.924412	0.988262	1.10158	1.40105	1.20502	1.40062	1.2003	1.38735
"NR5A1"	2.1099	2.31864	2.53373	2.26236	2.97458	0.0312208	0.0331932	0.0366368	0.0158569	0.036175
"NR5A2"	0.244456	0.194887	0.215091	0.202136	0.183906	0.0235965	0.0179327	0.0287946	0.0451986	0.0260625
"NR6A1"	2.37441	2.67012	2.4422	1.64581	2.79684	0.300701	0.336531	0.320682	0.32808	0.255068
"NRADDP"	0.256072	0.269734	0.253557	0.359937	0.358927	0.0478187	0.0460487	0.092636	0.0688831	0.0209607
"NRAP"	0.0062636	0.0160352	0.00682975	0.010259	0.011475	0.0628208	0.0501088	0.057703	0.0864106	0.0660652
"NRARP"	3.61353	3.68543	3.91148	3.89925	4.52049	1.91968	2.08731	2.16239	2.06272	2.9286
"NRAS"	29.1444	25.2913	26.6042	27.3312	28.7989	5.44849	5.20461	5.40714	5.10992	5.72967
"NRBF2"	11.6005	11.2296	12.6464	11.7708	11.4434	7.65061	7.10414	7.88348	7.73332	7.88616
"NRBP1"	42.1798	43.8249	41.3348	43.0215	41.3276	27.0109	28.7144	27.2087	28.0683	25.2266
"NRBP2"	9.02057	10.1697	10.03	9.17988	11.0259	29.4805	29.3764	28.9804	29.0381	30.2012
"NRCAM"	3.96983	3.61056	3.77136	3.76384	4.09382	49.9631	48.7438	51.2401	47.4971	51.7563
"NRD1"	53.8556	48.7222	50.7147	52.8394	50.2189	25.0035	24.9517	25.2734	24.7962	25.8374
"NRF1"	5.7871	6.11897	5.71774	5.73425	5.3161	4.67465	4.7019	4.6986	4.6758	4.25148
"NRG1"	1.83674	1.96049	1.71846	1.68848	1.84444	2.86854	3.04006	3.0281	2.89742	2.62802
"NRG2"	0.250244	0.323713	0.309563	0.31601	0.364379	2.02974	2.16475	2.11453	2.08304	2.61139
"NRG3"	0.044602	0.039061	0.0761347	0.054601	0.0384116	5.00665	4.92098	4.83716	4.72704	5.3021
"NRG4"	2.1859	1.73908	2.28065	2.00875	1.72041	2.22184	2.29742	2.46131	2.16816	2.52595
"NRGN"	3.47939	5.10038	4.09554	4.05069	8.51072	380.435	386.171	347.257	379.224	540.591
"NRIP1"	6.33158	5.63598	5.70651	5.84878	6.95884	6.04002	5.63888	6.24022	5.74217	6.29986
"NRIP2"	1.09936	0.94671	1.03417	1.0186	0.582334	15.0682	15.4319	14.9743	15.5853	14.2163
"NRIP3"	3.51487	3.44489	3.86331	3.68006	3.95013	19.4653	19.4739	19.4186	19.1752	19.8149
"NRK"	0.163504	0.120019	0.163079	0.173507	0.197746	1.40558	1.36859	1.59084	1.39124	1.69013
"NRL"	0.253129	0.391647	0.385705	0.376428	0.425414	0.70727	0.645569	0.675168	0.68139	0.909313
"NRM"	19.5215	23.317	22.6875	21.2272	20.6838	1.88465	1.66205	1.49043	1.58785	1.63855
"NRM"	0	0	0	0	0	0	0	0	0	0
"NRM"	0	0	0	0	0	0	0	0	0	0
"NRM"	0	0	0	0	0	0	0	0	0	0
"NRM"	0	0	0	0	0	0	0	0	0	0
"NRM"	0	0	0	0	0	0	0	0	0	0
"NRM"	0	0	0	0	0	0	0	0	0	0
"NRN1"	26.0021	25.4229	25.9039	25.5004	27.8336	69.6276	69.876	73.2025	70.0946	75.4445
"NRN1L"	0.459727	0.695147	0.535658	0.652166	0.919726	2.02503	1.94339	1.98131	2.08041	2.36545
"NRON"	0.0127693	0.0421196	0.00697434	0.01397	0.0234872	0.0713114	0.0455067	0.0532793	0.0588839	0.00688909
"NRP1"	7.5433	6.68336	6.79534	7.13232	7.09784	2.66788	2.6167	2.65774	2.92259	2.7321
"NRP2"	7.62919	7.59469	7.41713	7.42593	8.21724	2.15404	2.12982	2.13774	2.14677	2.15411
"NRSN1"	0.0389212	0.0321147	0.0478548	0.0239648	0.060472	29.341	29.5679	30.3349	30.311	29.2295
"NRSN2"	18.1566	21.5112	19.2645	18.7366	19.7677	51.3756	53.776	50.7752	51.9201	47.9607
"NRTN"	0.485541	0.614517	0.686101	0.611063	2.1986	0.021578	0.0103805	0.0417509	0.0124189	0.018894
"NRXN1"	0.113363	0.109218	0.0965945	0.133118	0.101543	31.1624	30.9377	33.4704	31.675	35.0493
"NRXN2"	0.405136	0.502877	0.538644	0.439319	1.15624	39.8719	37.9112	37.3086	39.4219	66.631
"NRXN3"	0.173784	0.147013	0.170695	0.141481	0.161525	29.6116	30.273	30.4536	29.1173	33.1677
"NSA2"	82.1924	78.8758	84.1045	86.241	84.3065	23.7574	22.4272	23.8259	24.0058	27.5758
"NSD1"	6.32294	6.01312	6.01435	5.88112	5.76419	6.37283	6.61662	6.40484	6.17465	5.65205
"NSDHL"	22.4073	22.6303	22.3517	21.9554	18.1292	10.0172	10.3337	9.73278	10.861	8.75922
"NSF"	15.3331	14.5967	14.5638	15.4183	15.0048	96.5173	96.4396	98.6233	95.9921	98.2586
"NSF"	0	0	0	0	0	0	0	0	0	0
"NSFL1C"	19.7629	19.6648	19.5368	20.0445	18.7298	17.4161	17.0239	17.1697	17.1206	15.9859
"NSFP1"	5.79911	5.66433	6.1032	5.32207	6.65287	38.9094	38.8373	39.2788	37.3643	38.5751
"NSFP1"	7.56128e-70	6.4035e-66	1.80694e-47	2.70804e-73	3.70793e-50	1.30427e-69	4.46667e-69	4.09665e-71	2.7219e-71	1.50527e-66
"NSFP1"	0	0	0	0	0	0	0	0	0	0
"NSFP1"	0	0	0	0	0	0	0	0	0	0
"NSL1"	2.85715	2.58911	2.65555	2.72496	2.90996	1.94144	1.94986	2.01508	1.88877	2.01822
"NSMAF"	13.4407	13.2175	13.6551	13.3952	12.7108	5.00701	5.20222	5.17079	4.93995	5.04338
"NSMCE1"	42.7194	46.094	43.4938	46.3691	36.8884	22.301	23.5515	23.7011	24.324	20.0615
"NSMCE2"	18.8804	18.0949	18.698	19.5496	17.0285	5.886	6.07722	6.28649	5.84387	5.84223
"NSMCE4A"	20.4702	17.4626	19.2368	20.76	21.299	5.94721	5.381	6.22695	5.46614	7.05778
"NSRP1"	10.9188	10.0505	10.5544	11.2348	11.7561	6.45562	6.73556	6.81038	6.65676	8.48894
"NSUN2"	34.6824	33.8972	33.3666	34.0021	37.1594	6.47253	6.59292	6.69398	6.24678	7.15914
"NSUN3"	3.46132	3.37726	3.49408	3.30976	2.66876	1.83703	2.30822	2.4937	2.34706	2.10594
"NSUN4"	6.79075	6.57743	6.58799	6.56593	6.10021	3.36905	3.37131	3.32922	3.31589	3.10427
"NSUN5"	11.3067	14.6327	13.1621	12.5605	17.6765	5.64139	6.10648	5.62022	5.6467	7.08084
"NSUN5P1"	8.4365	11.8328	11.4219	9.72891	14.2804	4.66045	4.65539	4.36018	4.40111	4.66661
"NSUN5P2"	8.10409	10.6226	10.2413	9.07177	12.9796	3.68996	3.53534	3.7197	3.6508	4.34553
"NSUN6"	5.68087	4.7682	5.2775	5.62649	5.1923	3.91371	3.86822	4.10277	4.1223	4.28024
"NSUN7"	1.09803	0.95114	0.972126	0.93805	1.03463	0.0748193	0.101835	0.0717911	0.0887374	0.099968
"NT5C"	13.4736	16.0338	14.5306	15.1274	26.1247	5.64723	6.12143	6.02005	6.96632	9.07716
"NT5C1A"	0.023048	0.0255232	0	0.0856567	0	2.17247	2.11086	2.08086	1.75784	1.71385
"NT5C1B"	0.0330974	0.0280114	0.0103881	0.0220371	0.0553182	8.24798e-35	0.014309	0.00354135	1.36181e-21	0.0109242
"NT5C1B-RDH14"	0.104272	0.0596224	0.119808	0.0833694	0.0253304	0.0206611	0.0602055	0.0275701	0.0383719	0.0213522
"NT5C2"	18.9714	17.8031	17.445	19.342	16.5138	14.0501	14.1979	14.8639	14.2875	14.4859
"NT5C3"	29.4695	25.1111	26.9901	29.9231	29.9635	6.52393	6.07146	6.54435	6.54348	7.08584
"NT5C3L"	22.6431	23.0874	23.5871	24.1687	26.6414	22.2201	22.2518	23.2133	22.1762	26.9922
"NT5DC1"	9.77534	8.4682	9.09522	9.33999	9.42529	6.9728	6.85772	7.50981	6.62646	7.92264
"NT5DC2"	63.9564	75.6378	66.1322	66.8077	69.7902	12.6684	14.027	12.9489	13.2873	12.9816
"NT5DC3"	4.10535	3.83301	3.88236	4.31709	3.94785	4.76842	4.74055	4.66475	4.86386	4.58825
"NT5E"	35.1657	30.3185	33.3744	33.6928	35.3384	1.84245	1.69478	1.8218	1.79069	2.05835
"NT5M"	2.22672	3.38501	3.1434	2.64502	4.0791	4.32142	4.25585	4.44661	4.56368	5.49886
"NTAN1"	25.8433	23.1022	23.3439	25.6261	22.1743	9.30661	8.65492	9.53121	9.76259	9.20789
"NTF3"	0.82217	1.08256	0.944846	1.02771	0.875538	1.12672	1.08653	1.18803	1.19466	1.20217
"NTF4"	0.0780071	0.288368	0.128756	0.161275	0.14584	0.01214	0.0116923	0	0.0139928	0
"NTHL1"	7.95199	11.1696	11.2695	9.49272	19.5488	6.86114	6.33338	6.87991	6.73729	10.6241
"NTM"	0.459196	0.402604	0.35443	0.414934	0.369073	36.7492	37.8039	37.4931	37.0303	41.1339
"NTN1"	0.455356	0.615574	0.608698	0.583242	0.679931	1.49354	1.42727	1.38765	1.42725	1.52425
"NTN3"	0.0119747	0.04616	0.0785974	0.0344424	0.157437	0.0334581	0.0213769	0.0429251	0.0319286	0.126268
"NTN4"	9.26108	8.87765	8.90781	8.98055	9.61055	5.26299	5.0086	5.11255	4.94768	5.21612
"NTN5"	0.0782648	0.122179	0.17131	0.0911597	0.35237	0.206569	0.273768	0.198866	0.271472	0.40234
"NTNG1"	2.23513	2.30402	2.1355	2.13755	2.27324	3.95194	3.95867	4.1559	3.93045	4.05377
"NTNG2"	0.0858548	0.159983	0.128388	0.143887	0.288092	3.84193	3.91884	3.86213	4.37852	7.48036
"NTPCR"	28.1292	27.8773	27.273	29.2056	25.3591	20.5371	20.3065	19.9561	20.3491	19.171
"NTRK1"	0.618266	0.792157	0.897038	0.634213	0.912264	0.266414	0.266077	0.20975	0.217398	0.271783
"NTRK2"	0.050516	0.0169365	0.0227661	0.0305104	0.0511274	53.5186	52.6668	53.1829	51.8952	59.4903
"NTRK3"	0.120905	0.18187	0.139055	0.153793	0.124352	11.5064	12.0123	11.384	11.2895	10.1571
"NTS"	89.7237	78.1508	82.4746	94.3325	84.5874	0.830594	0.82555	0.948315	0.900542	1.02337
"NTSR1"	0.421573	0.577793	0.563645	0.338673	0.830133	0.181987	0.208331	0.216362	0.199003	0.249242
"NTSR2"	0.0226395	0.00832426	0.0247985	0.0310515	0	7.10988	6.95632	6.82445	6.87125	7.82681
"NUAK1"	1.64693	1.66017	1.76289	1.57559	1.72624	20.1074	20.3058	20.6199	19.8852	19.9148
"NUAK2"	2.181	2.36257	2.52074	2.18122	2.5342	1.48484	1.56568	1.55578	1.57186	1.48457
"NUB1"	15.6309	16.3488	17.0643	15.368	16.3194	12.6367	12.7604	13.1016	12.9217	12.5928
"NUBP1"	18.2951	20.7249	19.1858	19.6602	18.8508	5.51488	5.84427	5.92477	5.84844	5.5992
"NUBP2"	6.73936	11.5907	11.7476	8.48414	31.7043	7.15026	6.66675	7.06062	7.27264	15.0374
"NUBPL"	5.66485	5.07472	5.47783	5.88188	6.23369	2.41061	2.16148	2.31783	2.40923	2.66803
"NUCB1"	50.1258	65.8171	62.6031	55.1	68.1721	45.3467	47.9056	45.1425	47.1579	45.0027
"NUCB2"	42.1218	37.0109	39.9636	40.5092	43.427	9.15216	8.67973	8.88703	8.98344	10.4965
"NUCKS1"	79.537	70.747	75.0618	77.1687	84.5459	56.2622	54.335	57.2086	55.8054	61.9962
"NUDC"	93.408	108.611	104.003	103.38	120.871	67.3384	72.1214	69.5398	71.9648	75.874
"NUDCD1"	9.62532	8.12202	9.32648	9.00183	8.77421	2.99554	2.64644	3.14411	2.8941	3.14644
"NUDCD2"	34.0297	31.1196	34.1728	34.3132	38.093	13.1718	13.0548	14.3505	13.6283	16.1758
"NUDCD3"	18.6023	20.4638	19.1748	19.0806	18.2402	42.0381	43.3296	42.6022	43.3335	37.2859
"NUDT1"	33.3539	44.089	43.336	41.5809	40.4717	7.38064	6.551	7.53788	7.64846	5.51023
"NUDT10"	1.26196	1.1511	1.33985	1.38107	1.4135	5.7881	5.83849	5.86446	6.18773	6.66143
"NUDT11"	3.56815	3.2449	3.20348	3.5458	3.83709	9.25529	8.60156	9.60299	9.22569	10.5973
"NUDT12"	3.46884	3.04108	2.88	3.29665	3.29167	4.01071	3.8365	4.19849	3.93144	4.54419
"NUDT13"	2.23858	1.95684	1.96527	2.04698	1.89026	0.570919	0.667458	0.564267	0.593605	0.437761
"NUDT14"	4.77712	6.18731	5.93236	5.30471	9.21221	10.5766	10.5668	9.71018	10.967	13.1572
"NUDT15"	14.7382	13.2042	14.0562	14.6387	14.5185	4.77948	4.31289	4.77198	4.67739	5.46679
"NUDT16"	4.12992	3.88975	3.86899	4.10415	5.2291	11.6842	11.94	11.6169	11.7314	12.3133
"NUDT16L1"	9.51858	11.3948	10.6326	9.84119	14.6492	12.6959	13.607	12.2549	13.097	16.4873
"NUDT16P1"	0.484124	0.496062	0.435892	0.440367	0.590467	0.376984	0.375964	0.364541	0.449172	0.485353
"NUDT17"	2.03951	1.92142	2.06789	1.9461	1.65599	1.71754	1.7685	1.52427	1.87655	1.70533
"NUDT18"	2.96221	3.6677	3.85298	3.44334	3.82514	3.56154	3.46844	3.67179	3.33074	3.17316
"NUDT19"	6.4153	6.00162	6.60139	6.48984	6.50145	1.76644	1.76333	1.90525	1.79507	1.89785
"NUDT2"	15.4466	15.9845	15.7634	17.3105	14.675	12.4568	13.6222	12.9215	13.1731	11.4527
"NUDT21"	35.5474	30.9339	32.3204	33.6781	37.0719	23.8858	23.1304	25.5608	23.3619	27.289
"NUDT22"	9.91457	13.0195	12.3578	10.5781	23.9261	5.34375	5.21628	5.23803	5.58337	9.15095
"NUDT3"	7.03584	12.3276	11.7704	9.96321	14.456	20.483	21.2151	20.8176	23.1864	26.0288
"NUDT4"	5.69114	5.07905	5.79545	5.20075	7.15991	5.19433	5.2955	5.55353	4.99113	6.60171
"NUDT4P1"	22.4415	18.9869	20.9695	21.6739	21.5994	25.9288	25.2069	27.4543	27.0892	27.9372
"NUDT5"	48.5724	45.2922	46.9501	48.4914	43.9874	8.42356	8.1968	8.50347	7.98113	8.02062
"NUDT6"	3.60055	3.58522	3.89398	4.11837	4.41795	2.65769	2.83794	2.92098	3.14485	3.26698
"NUDT7"	4.67729	4.01219	4.51292	4.95671	5.19955	3.16746	2.79253	3.41622	3.04379	3.29958
"NUDT8"	6.7437	9.18652	9.74072	8.2894	13.8464	2.22329	1.82299	2.28299	2.39031	3.23061
"NUDT9"	7.22661	7.04204	7.17791	7.88415	7.0692	10.5361	9.75976	10.743	10.4878	10.6906
"NUDT9P1"	0.452183	0.355923	0.294344	0.33425	0.399621	0.377633	0.3848	0.290217	0.422031	0.389141
"NUF2"	22.6694	19.1228	21.4268	22.5305	21.7842	0.13564	0.187451	0.259773	0.244637	0.221545
"NUFIP1"	3.88759	3.67424	4.00629	3.96095	4.4974	1.98607	2.09593	2.14099	2.11313	2.38708
"NUFIP2"	12.9261	11.7054	12.4739	12.1744	14.0907	8.48326	8.19085	8.77485	8.48386	8.7926
"NUMA1"	19.6107	26.2749	24.4927	20.4631	28.212	29.721	31.0387	29.7595	29.8389	30.1936
"NUMB"	18.6058	18.4373	18.588	18.4673	18.5741	13.1862	13.558	13.5941	13.2811	12.946
"NUMBL"	3.79566	4.85865	4.56957	4.23054	6.60029	10.3879	10.4491	10.1412	10.5276	12.2958
"NUP107"	29.1392	25.2921	26.7484	27.866	26.9656	3.40068	3.58421	3.73653	3.42286	3.73122
"NUP133"	18.1716	16.0471	16.7355	17.1263	18.0253	9.34064	9.54808	9.56747	9.33675	10.5142
"NUP153"	18.9619	17.8802	17.8256	17.535	19.0055	7.83768	7.39184	7.62895	7.29042	7.48839
"NUP155"	20.6084	18.7204	18.8465	18.9213	18.2227	2.74774	2.85024	3.14117	2.93694	2.71297
"NUP160"	21.1902	18.6703	18.5763	19.1936	20.802	3.3507	3.38135	3.38204	3.33401	3.33851
"NUP188"	22.1031	24.8218	23.1944	21.6675	23.4933	5.99076	5.98312	5.90187	6.04198	5.50803
"NUP205"	25.734	24.3919	23.473	24.4032	25.3405	4.40243	4.36139	4.49811	4.24208	4.40015
"NUP210"	19.1418	23.2006	21.6304	18.3172	23.9539	3.31532	3.49581	3.50014	3.52402	3.38277
"NUP210L"	0.224328	0.158637	0.186854	0.22244	0.19267	0.0231298	0.017003	0.0324001	0.0284177	0.0100644
"NUP210P1"	0	0	0	0	0	0	0	0	0	0
"NUP214"	18.8197	20.3236	19.6517	17.8623	19.3869	6.24017	6.18251	6.08561	6.11898	5.57127
"NUP35"	12.8975	11.5861	11.3227	13.6984	11.7254	3.62939	3.43538	3.54372	3.47995	3.09889
"NUP37"	31.4975	27.4815	27.2207	30.5563	26.5767	1.80297	1.76145	2.03434	1.77063	1.97764
"NUP43"	19.0979	17.1299	17.99	19.303	15.9267	3.91178	4.18457	4.33834	4.34417	4.02738
"NUP50"	17.5709	15.3744	15.7512	16.2646	17.046	8.15619	7.9532	8.39748	7.97995	8.34669
"NUP54"	20.0435	17.0818	18.3884	19.1191	19.9824	6.11662	6.16456	6.28128	6.06346	6.91273
"NUP62"	24.3664	29.1702	25.8853	24.2698	30.9985	9.80665	10.3222	9.13117	9.83497	9.94538
"NUP62CL"	3.31137	3.01807	2.86533	3.09384	3.05912	0.114413	0.0694854	0.104058	0.0801294	0.0997232
"NUP85"	27.458	27.2784	27.8186	28.4135	23.0156	8.18444	7.90906	8.90815	8.40589	7.79716
"NUP88"	19.6797	18.0515	18.0738	19.561	19.0323	5.49428	5.44448	5.68229	5.05977	5.22654
"NUP93"	35.5046	37.3325	35.9384	35.3454	32.4049	8.48724	8.39082	7.90153	8.15724	7.57636
"NUP98"	19.822	18.5992	18.7605	18.3386	18.8594	6.92342	7.01641	7.04778	6.80423	6.54501
"NUPL1"	16.5843	15.3732	15.6001	15.8058	17.629	7.15212	6.92044	7.51743	6.80669	7.82952
"NUPL2"	17.227	14.9093	15.3589	15.9995	15.2112	8.72094	9.06276	9.14566	9.25892	8.42411
"NUPR1"	17.7615	22.6649	20.8573	19.5799	20.5106	25.6259	25.8027	24.4484	26.0548	24.6149
"NUS1"	17.3141	14.3494	16.6062	16.3114	17.8381	8.29673	8.09875	8.62541	8.23153	9.48021
"NUSAP1"	60.1396	56.1727	57.1389	58.6522	59.4149	0.388046	0.195813	0.226691	0.291282	0.268922
"NUTF2"	111.14	120.217	117.522	118.374	117.137	40.128	42.0323	42.0857	41.43	40.3093
"NVL"	13.3968	13.0232	12.6178	13.1204	12.0597	3.68735	3.39145	3.60137	3.46136	3.30138
"NWD1"	0.0190162	0.0128316	0.0167389	0.0155644	0.0220832	1.33291	1.29029	1.35905	1.28894	1.29498
"NXF1"	24.2638	25.2773	23.5499	24.1329	21.9028	18.1262	18.9899	18.1931	17.7628	16.4146
"NXF2B"	0.109807	0.0993305	0.0586724	0.144239	0.0662792	0.0863262	0.0674401	0.0946209	0.0459124	0.055338
"NXF2B"	0.145596	0.110069	0.0826747	0.116193	0.0865	0.0806468	0.0848441	0.0917095	0.0563077	0.0751016
"NXF3"	1.20344	1.15924	1.07553	1.14636	0.933567	0.00586891	0.0281292	0.0169465	0.0336134	0.0204512
"NXF4"	0.00950179	0.0104361	0.00518499	0.0129814	0.00872101	0.00589361	0.01973	0	0.00673153	0.0255943
"NXF5"	0.0125343	0.0165909	0.00411878	0.00412588	0.00347923	0.0788787	0.123115	0.0995665	0.075593	0.0978875
"NXN"	7.01197	7.65895	6.92069	6.95328	7.38102	3.22668	3.22523	3.63893	3.32458	3.51918
"NXNL1"	0	0	0	0.0362117	0	0.0544713	0.0787816	0.105707	0.0785963	0.0717545
"NXNL2"	0.409003	0.298529	0.310639	0.383767	0.804674	0.08638	0.108132	0.117504	0.118719	0.275938
"NXPH1"	0.099059	0.104529	0.123327	0.149516	0.12019	4.52841	4.35141	4.64979	4.23186	4.86567
"NXPH2"	0.0273449	0.0100249	0.0074695	0.0149621	0.0125812	1.92182	1.97401	2.10346	2.00864	1.98503
"NXPH3"	0.119783	0.198236	0.172663	0.151291	0.172933	10.35	11.0888	10.5405	10.862	9.92704
"NXPH4"	7.39341	9.38652	8.76556	8.18426	11.949	4.02601	4.20466	3.88232	3.80409	4.41531
"NXT1"	20.6299	20.4435	20.9973	20.9723	18.4616	3.59713	4.04414	3.83978	3.90723	3.72688
"NXT2"	5.33654	4.47322	4.78808	5.33791	5.32858	1.54806	1.6255	1.80069	1.46413	1.80455
"NYNRIN"	1.06831	1.33825	1.19756	1.06879	1.50901	5.12925	5.33474	5.1697	4.97433	4.91775
"NYX"	0.0044303	0.0146159	0.00726028	0.0218143	0.0427954	0	0.00789574	0.00396204	0	0
"O3FAR1"	0.00952912	0.00697739	0.0103998	0.0182268	0.00874645	0.348732	0.426843	0.363005	0.401692	0.379898
"OAF"	18.2146	22.136	20.6955	19.3569	22.5774	6.13829	6.58429	6.35803	6.47687	6.61995
"OAS1"	6.32301	6.99499	6.82749	6.2659	6.15682	1.46462	1.70548	1.76131	1.50678	1.6157
"OAS2"	2.56812	2.43715	2.15664	2.46443	2.29972	1.41283	1.40736	1.4431	1.38866	1.37365
"OAS3"	4.75034	5.13751	4.88	4.49589	5.1834	1.64508	1.55984	1.47379	1.46523	1.53467
"OASL"	0.815258	0.80008	0.988784	0.883278	0.638616	0.269353	0.299902	0.353817	0.245993	0.238327
"OAT"	44.1813	39.1788	42.9938	43.4045	40.2558	60.3861	59.9495	65.1802	62.0348	62.5162
"OAZ1"	258.419	302.977	299.688	278.201	390.727	233.41	234.817	228.453	240.127	293.225
"OAZ2"	38.8162	40.0795	41.2177	41.8534	38.7106	50.1588	50.8469	52.036	50.657	49.8054
"OAZ3"	0.835071	1.09753	0.982416	0.764105	1.28244	0.827921	0.723508	1.11365	0.796337	1.07875
"OBFC1"	2.68461	2.57402	2.39587	2.63881	2.55183	2.56568	2.64395	2.52962	2.45996	2.58157
"OBFC2A"	3.82741	3.0125	3.53451	3.53348	3.41086	0.567512	0.463354	0.542149	0.541247	0.582482
"OBFC2B"	27.7693	28.8999	27.7954	29.2303	25.2981	20.7612	20.614	19.6829	20.5954	18.7751
"OBP2A"	0.0617077	0.0459668	0.102504	0.111324	0.0292579	0.105932	0.149202	0.169194	0.0223582	0
"OBP2B"	0.0205692	0.0229834	0	0.00856339	0	0.0096302	0.0186503	0	0.0223582	0
"OBSCN"	0.711767	1.06394	1.07942	0.777379	1.63716	1.81469	1.77244	1.78468	1.83748	2.32516
"OBSL1"	16.7004	22.7921	21.8833	19.1972	29.6206	10.9073	11.0947	10.1638	10.9222	13.575
"OC90"	0.0876035	0.0594186	0.0885166	0.0997478	0.0560342	0.0313895	0.0662171	0.0241803	0.0431644	0.0218856
"OCA2"	2.39543	2.50713	2.28046	2.549	2.86557	0.591466	0.608455	0.577693	0.60555	0.558528
"OCEL1"	9.25983	10.8664	9.42146	10.6309	11.4198	6.717	7.1582	7.3038	6.27197	7.54943
"OCIAD1"	44.7279	39.607	42.7687	43.716	42.489	75.1002	72.2121	76.6263	75.3527	77.9831
"OCIAD2"	19.3992	16.7579	18.5799	18.9015	16.8332	12.268	13.123	15.7938	12.9762	14.4113
"OCLM"	1.27978	0.886766	1.14514	1.12267	0.911315	0.393947	0.447824	0.682908	0.438696	0.123616
"OCLN"	2.7183	2.15837	2.41841	2.6839	2.57525	1.36233	1.32825	1.33959	1.43667	1.37098
"OCM"	0.0710583	0.0226792	0.0337172	0.109853	0.0288636	0.48472	0.248441	0.333876	0.441208	0.436474
"OCM2"	0.0127211	0	0	0.0319169	0	0.131263	0.150741	0.0936321	0.0834985	0.127111
"OCRL"	10.1505	9.19157	9.38907	9.26566	9.56029	11.7948	11.8748	12.3888	11.6222	11.5148
"ODAM"	1.00679	0.770457	0.844512	0.949836	1.01174	0.00902839	0	0	0	0
"ODC1"	111.519	103.718	105.174	111.527	100.149	12.6289	12.3422	12.6741	12.2889	12.1007
"ODF1"	0	0.0145056	0.0215889	0.0108166	0.036683	0.0488513	0.0235261	0.0354982	0.0422332	0.0642572
"ODF2"	19.5321	20.2539	19.9784	19.7396	18.7651	8.61794	8.52112	8.47982	7.91434	7.69194
"ODF2L"	3.18862	2.92945	2.92889	3.29109	3.45147	3.03842	3.24328	3.28962	3.05198	3.48436
"ODF3"	0.00971499	0	0	0	0	0.0181211	0.0348246	0.0174995	0	0.0316773
